slug,provider,offer,actionButtons,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
algokit-avm-vscode-debugger,,!offer:algokit-avm-vscode-debugger,,,,,,,,,,,,,,,
algokit-cli,,!offer:algokit-cli,,,,,,,,,,,,,,,
algokit-client-generator-py,,!offer:algokit-client-generator-py,,,,,,,,,,,,,,,
algokit-client-generator-ts,,!offer:algokit-client-generator-ts,,,,,,,,,,,,,,,
algokit-utils-py,,!offer:algokit-utils-py,,,,,,,,,,,,,,,
algokit-utils-ts,,!offer:algokit-utils-ts,,,,,,,,,,,,,,,
algorand-sdk,Algorand,,"[""[Docs](https://dev.algorand.co/reference/sdk/sdk-list/)""]",SDK,TBD,"[""Go"",""Java"",""Python"",""JavaScript"",""TypeScript""]","Official SDKs like TypeScript, Python, JavaScript, Java and Go are used for building, testing, and debugging applications on Algorand",Free,,$0,FALSE,FALSE,,TBD,TBD,TBD,TBD
dfns-sdk-basic,,!offer:dfns-sdk-basic,,,,,,,,,,,,,,,
dfns-sdk-pro,,!offer:dfns-sdk-pro,,,,,,,,,,,,,,,
dfns-sdk-starter,,!offer:dfns-sdk-starter,,,,,,,,,,,,,,,
dynamic-sdk-free,,!offer:dynamic-sdk-free,,,,,,,,,,,,,,,
dynamic-sdk-growth,,!offer:dynamic-sdk-growth,,,,,,,,,,,,,,,
pinata-sdk-fiesta,,!offer:pinata-sdk-fiesta,,,,,,,,,,,,,,,
pinata-sdk-free,,!offer:pinata-sdk-free,,,,,,,,,,,,,,,
pinata-sdk-picnic,,!offer:pinata-sdk-picnic,,,,,,,,,,,,,,,
tatum-sdk-free,,!offer:tatum-sdk-free,,,,,,,,,,,,,,,
tatum-sdk-pro,,!offer:tatum-sdk-pro,,,,,,,,,,,,,,,
tatum-sdk-scale,,!offer:tatum-sdk-scale,,,,,,,,,,,,,,,
tatum-sdk-starter,,!offer:tatum-sdk-starter,,,,,,,,,,,,,,,
wormhole-sdk-free,,!offer:wormhole-sdk-free,"[""[Docs](https://wormhole.com/docs/tools/typescript-sdk/get-started/)""]",,,,,,,,,,,,,,
wormhole-sdk-usage,,!offer:wormhole-sdk-usage,"[""[Docs](https://wormhole.com/docs/tools/typescript-sdk/get-started/)""]",,,,,,,,,,,,,,
