slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
ankr-mainnet-free-full-archive,,!offer:ankr-free-full-archive,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-free-recent-state,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-full-archive,,!offer:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-recent-state,,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-public-full-archive,,!offer:ankr-public-full-archive,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-testnet-free-full-archive,,!offer:ankr-free-full-archive,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
ankr-testnet-free-recent-state,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
ankr-testnet-pay-as-you-go-full-archive,,!offer:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
ankr-testnet-pay-as-you-go-recent-state,,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
ankr-testnet-public-full-archive,,!offer:ankr-public-full-archive,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#somnia)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-basic-recent-state,,!offer:blockeden-basic-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-50-recent-state,,!offer:blockeden-enterprise-50-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
